"","Project_ID","Camera_ID","Make","Model","Serial_Number","Year_Purchased"
"1","South Chilcotins Wildlife Survey 2018",639,NA,NA,NA,NA
"2","South Chilcotins Wildlife Survey 2018",540,NA,NA,NA,NA
"3","South Chilcotins Wildlife Survey 2018",134,NA,NA,NA,NA
"4","South Chilcotins Wildlife Survey 2018",233,NA,NA,NA,NA
"5","South Chilcotins Wildlife Survey 2018",8,NA,NA,NA,NA
"6","South Chilcotins Wildlife Survey 2018",230,NA,NA,NA,NA
"7","South Chilcotins Wildlife Survey 2018",123,NA,NA,NA,NA
"8","South Chilcotins Wildlife Survey 2018",118,NA,NA,NA,NA
"9","South Chilcotins Wildlife Survey 2018",439,NA,NA,NA,NA
"10","South Chilcotins Wildlife Survey 2018",9,NA,NA,NA,NA
"11","South Chilcotins Wildlife Survey 2018",640,NA,NA,NA,NA
"12","South Chilcotins Wildlife Survey 2018",117,NA,NA,NA,NA
"13","South Chilcotins Wildlife Survey 2018",437,NA,NA,NA,NA
"14","South Chilcotins Wildlife Survey 2018",113,NA,NA,NA,NA
"15","South Chilcotins Wildlife Survey 2018",12,NA,NA,NA,NA
"16","South Chilcotins Wildlife Survey 2018",112,NA,NA,NA,NA
"17","South Chilcotins Wildlife Survey 2018",122,NA,NA,NA,NA
"18","South Chilcotins Wildlife Survey 2018",109,NA,NA,NA,NA
"19","South Chilcotins Wildlife Survey 2018",638,NA,NA,NA,NA
"20","South Chilcotins Wildlife Survey 2018",7,NA,NA,NA,NA
"21","South Chilcotins Wildlife Survey 2018",110,NA,NA,NA,NA
"22","South Chilcotins Wildlife Survey 2018",125,NA,NA,NA,NA
"23","South Chilcotins Wildlife Survey 2018",115,NA,NA,NA,NA
"24","South Chilcotins Wildlife Survey 2018",11,NA,NA,NA,NA
"25","South Chilcotins Wildlife Survey 2018",234,NA,NA,NA,NA
"26","South Chilcotins Wildlife Survey 2018",4,NA,NA,NA,NA
"27","South Chilcotins Wildlife Survey 2018",3,NA,NA,NA,NA
"28","South Chilcotins Wildlife Survey 2018",121,NA,NA,NA,NA
"29","South Chilcotins Wildlife Survey 2018",133,NA,NA,NA,NA
"30","South Chilcotins Wildlife Survey 2018",438,NA,NA,NA,NA
"31","South Chilcotins Wildlife Survey 2018",2,NA,NA,NA,NA
"32","South Chilcotins Wildlife Survey 2018",1,NA,NA,NA,NA
"33","South Chilcotins Wildlife Survey 2018",124,NA,NA,NA,NA
"34","South Chilcotins Wildlife Survey 2018",232,NA,NA,NA,NA
"35","South Chilcotins Wildlife Survey 2018",119,NA,NA,NA,NA
"36","South Chilcotins Wildlife Survey 2018",10,NA,NA,NA,NA
"37","South Chilcotins Wildlife Survey 2018",637,NA,NA,NA,NA
"38","South Chilcotins Wildlife Survey 2018",128,NA,NA,NA,NA
"39","South Chilcotins Wildlife Survey 2018",131,NA,NA,NA,NA
"40","South Chilcotins Wildlife Survey 2018",237,NA,NA,NA,NA
"41","South Chilcotins Wildlife Survey 2018",538,NA,NA,NA,NA
"42","South Chilcotins Wildlife Survey 2018",135,NA,NA,NA,NA
"43","South Chilcotins Wildlife Survey 2018",539,NA,NA,NA,NA
"44","South Chilcotins Wildlife Survey 2018",338,NA,NA,NA,NA
"45","South Chilcotins Wildlife Survey 2018",337,NA,NA,NA,NA
"46","South Chilcotins Wildlife Survey 2018",130,NA,NA,NA,NA
"47","South Chilcotins Wildlife Survey 2018",116,NA,NA,NA,NA
"48","South Chilcotins Wildlife Survey 2018",6,NA,NA,NA,NA
"49","South Chilcotins Wildlife Survey 2018",126,NA,NA,NA,NA
"50","South Chilcotins Wildlife Survey 2018",114,NA,NA,NA,NA
"51","South Chilcotins Wildlife Survey 2018",136,NA,NA,NA,NA
"52","South Chilcotins Wildlife Survey 2018",129,NA,NA,NA,NA
"53","South Chilcotins Wildlife Survey 2018",120,NA,NA,NA,NA
"54","South Chilcotins Wildlife Survey 2018",235,NA,NA,NA,NA
"55","South Chilcotins Wildlife Survey 2018",127,NA,NA,NA,NA
"56","South Chilcotins Wildlife Survey 2018",537,NA,NA,NA,NA
"57","South Chilcotins Wildlife Survey 2018",5,NA,NA,NA,NA
"58","South Chilcotins Wildlife Survey 2018",111,NA,NA,NA,NA
"59","South Chilcotins Wildlife Survey 2018",236,NA,NA,NA,NA
"60","South Chilcotins Wildlife Survey 2018",229,NA,NA,NA,NA
"61","South Chilcotins Wildlife Survey 2018",231,NA,NA,NA,NA
