"project_id","deployment_id","placename","longitude","latitude","event","array_name","bait_type","bait_description","feature_type","feature_type_methodology","camera_id","quiet_period","camera_functioning","sensor_height","height_other","sensor_orientation","orientation_other","recorded_by"
"WI-WWFSPAIN-PILOT",1,"L2",-3.45226502,38.54497952,"","","None","","Road dirt","","","","Camera Functioning","Knee height","","Parallel","",""
"WI-WWFSPAIN-PILOT",2,"N9",-3.44245174,38.53440299,"","","None","","Road dirt","","","","Camera Functioning","Knee height","","Parallel","",""
"WI-WWFSPAIN-PILOT",3,"L4",-3.446128378,38.55095322,"","","None","","Road dirt","","","","Camera Functioning","Knee height","","Parallel","",""
"WI-WWFSPAIN-PILOT",4,"L6",-3.451047968,38.55879391,"","","None","","Road dirt","","","","Camera Functioning","Knee height","","Parallel","",""
"WI-WWFSPAIN-PILOT",5,"L7",-3.455154514,38.55461611,"","","None","","Road dirt","","","","Camera Functioning","Knee height","","Parallel","",""
"WI-WWFSPAIN-PILOT",6,"L8",-3.459635815,38.55862602,"","","None","","Road dirt","","","","Camera Functioning","Knee height","","Parallel","",""
"WI-WWFSPAIN-PILOT",7,"L9",-3.469651183,38.55553318,"","","None","","Road dirt","","","","Camera Functioning","Knee height","","Parallel","",""
"WI-WWFSPAIN-PILOT",8,"N1",-3.450097041,38.53446057,"","","None","","Road dirt","","","","Camera Functioning","Knee height","","Parallel","",""
"WI-WWFSPAIN-PILOT",9,"N2",-3.455224503,38.52990056,"","","None","","Road dirt","","","","Camera Functioning","Knee height","","Parallel","",""
"WI-WWFSPAIN-PILOT",10,"N5",-3.439525114,38.52686606,"","","None","","Road dirt","","","","Camera Functioning","Knee height","","Parallel","",""
"WI-WWFSPAIN-PILOT",11,"N7",-3.430824028,38.52847849,"","","None","","Road dirt","","","","Camera Functioning","Knee height","","Parallel","",""
