"genus","species","common_name"
"Ursus","americanus","American Black Bear"
"Odocoileus","hemionus","Mule Deer"
"Equus","caballus","Domestic Horse"
"Lepus","americanus","Snowshoe Hare"
"Canis","lupus","Grey Wolf"
"Tamiasciurus","douglasii","Douglas's Squirrel"
"Bos","taurus","Domestic Cattle"
"Alces","alces","Moose"
"Colaptes","auratus","Yellow-shafted Flicker"
"Canis","lupus familiaris","Domestic Dog"
"Junco","hyemalis","Dark-eyed Junco"
"Canis","latrans","Coyote"
"Zonotrichia","leucophrys","White-crowned Sparrow"
"Dendragapus","fuliginosus","Sooty Grouse"
"Tamias",NA,"Tamias Species"
"Lynx","canadensis","Canada Lynx"
"Marmota","caligata","Hoary Marmot"
"Glaucomys","sabrinus","Carolina Flying Squirrel"
"Catharus","guttatus","Hermit Thrush"
"Peromyscus",NA,"Peromyscus Species"
"Mustela","erminea","Stoat"
"Turdus","migratorius","American Robin"
"Puma","concolor","Puma"
"Falcipennis","canadensis","Spruce Grouse"
"Ursus","arctos","Brown Bear"
"Corvus","corax","Common Raven"
"Ixoreus","naevius","Varied Thrush"
"Martes","americana","American Marten"
"Myadestes","townsendi","Townsend's Solitaire"
"Setophaga","coronata","Myrtle Warbler"
"Bonasa","umbellus","Ruffed Grouse"
"Nucifraga","columbiana","Clark's Nutcracker"
"Lynx",NA,"Lynx Species"
"Perisoreus","canadensis","Grey Jay"
NA,NA,"Passeriformes Order"
"Pipilo","maculatus","Spotted Towhee"
"Unknown","Unknown","Unknown species"
"Cyanocitta","stelleri","Steller's Jay"
"Picoides","dorsalis","American Three-toed Woodpecker"
"Lontra","canadensis","North American River Otter"
"Sphyrapicus","nuchalis","Red-naped Sapsucker"
"Martes","pennanti","Fisher"
"Passerella","iliaca","Red Fox-sparrow"
"Spizella","passerina","Chipping Sparrow"
"Catharus","ustulatus","Russet-backed Thrush"
"Lynx","rufus","Bobcat"
"Empidonax","oberholseri","American Dusky Flycatcher"
"Neotoma","cinerea","Bushy-tailed Woodrat"
"Gulo","gulo","Wolverine"
"Spinus","pinus","Pine Siskin"
"Eremophila","alpestris","Horned Lark"
"Erethizon","dorsatum","North American Porcupine"
"Vulpes","vulpes","Red Fox"
"Anaxyrus","boreas","Western Toad"
"Mustela",NA,"Mustela Species"
"Melospiza","melodia","Song Sparrow"
"Leuconotopicus","villosus","Hairy Woodpecker"
"Regulus","satrapa","Golden-crowned Kinglet"
"Setophaga","ruticilla","American Redstart"
"Martes",NA,"Martes Species"
"Contopus","sordidulus","Western Wood-pewee"
"Molothrus","ater","Brown-headed Cowbird"
"Poecile","gambeli","Mountain Chickadee"
"Regulus","calendula","Ruby-crowned Kinglet"
"Mephitis","mephitis","Striped Skunk"
NA,NA,"Bat"
